Site_id;Visit_id;Species_id;Cover;Cover_class
4;6345;2338;2;2
4;16199;2338;3;3
4;28382;2338;3;3
4;40703;2338;2;2
4;49283;2338;1;1
16;7243;2;65;8
16;18105;2;65;8
16;28860;2;67;8
16;40845;2;24;6
16;53474;2;45;7
16;72791;2;4;4
23;18088;2338;1;1
23;27219;2338;1;1
23;41336;2338;2;2
23;54058;2338;2;2
23;73092;2338;2;2
55;4728;2338;38;7
55;19084;2338;2;2
55;33123;2338;2;2
55;44262;2338;2;2
55;51300;2338;2;2
55;75729;2338;2;2
57;39936;2;1;1
57;48973;2;1;1
58;46933;2;3;3
62;3670;2;3;3
62;22019;2;5;4
62;35045;2;4;4
62;47030;2;4;4
62;73770;2;5;4
63;7378;2338;3;3
63;20602;2338;8;5
63;30888;2338;8;5
63;42954;2338;3;3
63;55927;2338;3;3
63;73565;2338;8;5
72;31510;2;2;2
72;51840;2;2;2
73;45840;2338;1;1
84;6338;2;4;4
84;16551;2;4;4
84;30000;2;1;1
88;12695;2;63;8
88;23595;2;88;9
88;35078;2;63;8
88;46524;2;63;8
88;56985;2;63;8
88;68344;2;63;8
89;21470;2338;2;2
89;33949;2338;2;2
89;46364;2338;2;2
89;55185;2338;2;2
89;68286;2338;2;2
92;9381;2;2;2
92;20070;2;2;2
92;67308;2;4;4
94;6479;2;1;1
94;16032;2;3;3
94;27433;2;2;2
94;41722;2;3;3
94;52114;2;3;3
94;69617;2;2;2
100;40167;2338;1;1
100;48306;2338;2;2
100;69846;2338;2;2
102;67876;2;1;1
103;16136;2;8;5
103;28540;2;8;5
103;40218;2;18;6
103;49094;2;18;6
104;12395;2338;2;2
104;23403;2338;2;2
104;33833;2338;1;1
114;9704;2338;18;6
114;22710;2338;18;6
114;34691;2338;8;5
114;45511;2;1;1
114;45511;2338;8;5
114;56326;2338;3;3
114;65584;2338;2;2
117;23144;1733;1;1
119;9201;2;21;6
119;21384;2;22;6
119;32157;2;22;6
119;41848;2;22;6
119;56775;2;5;4
119;66571;2;4;4
123;5955;2;1;1
123;16329;2;2;2
123;29557;2;2;2
123;40310;2;2;2
123;52694;2;2;2
123;73187;2;2;2
126;5465;2338;3;3
126;16803;2338;3;3
126;28022;2338;4;4
126;39841;2338;4;4
126;52483;2338;1;1
138;5711;2;1;1
142;46784;2338;2;2
166;7187;2338;38;7
166;18412;2338;18;6
166;27837;2338;38;7
166;41103;2338;38;7
166;48716;2338;8;5
166;69205;2338;8;5
183;64982;2;2;2
190;66222;1733;1;1
192;3699;2;63;8
192;20340;2;88;9
192;32020;2;88;9
192;42248;2;88;9
192;52382;2;88;9
192;76160;2;63;8
193;66188;1733;1;1
203;15234;2338;4;4
203;26235;2338;4;4
203;38294;2338;4;4
203;49288;2338;3;3
203;65254;2338;2;2
210;46867;2;1;1
235;34311;2338;2;2
242;21405;2;1;1
242;34969;2;1;1
252;65580;2;2;2
253;14022;2;1;1
253;25357;2;2;2
253;38693;2;4;4
253;48678;2;3;3
253;75159;2;2;2
270;29064;2;2;2
270;39296;2;2;2
270;53970;2;2;2
270;75924;2;3;3
271;18197;2;18;6
271;29416;2;2;2
271;41341;2;8;5
271;49763;2;8;5
271;69836;2;2;2
275;6251;2;2;2
275;16548;2;2;2
275;27285;2;2;2
275;39650;2;2;2
275;51584;2;2;2
275;73769;2;2;2
283;71105;2;1;1
291;4494;2338;8;5
291;23433;2338;3;3
291;33794;2338;1;1
291;46553;2338;1;1
291;67814;2338;2;2
301;29207;2;1;1
301;48127;2;1;1
309;13325;2;13;6
309;26563;2;14;6
309;38899;2;19;6
309;48291;2;35;7
309;66531;2;18;6
310;8536;2;1;1
313;8787;2;63;8
313;19554;2;63;8
313;31415;2;38;7
313;42541;2;63;8
313;53050;2;63;8
313;72419;2;63;8
314;11741;2;18;6
314;22643;2;2;2
314;35598;2;2;2
314;47235;2;8;5
314;56977;2;18;6
314;67181;2;2;2
315;3714;2338;1;1
316;5841;2338;3;3
316;16968;2338;4;4
316;68429;2338;4;4
317;67393;2;2;2
322;5578;2;6;5
322;16212;2;12;5
322;29363;2;7;5
322;40510;2;7;5
322;52100;2;6;5
322;67967;2;1;1
325;3463;2338;1;1
325;12889;2338;2;2
325;37277;2338;1;1
326;3452;2;11;5
326;13046;2;2;2
326;25953;2;1;1
326;37552;2;1;1
326;49571;2;6;5
326;72858;2;5;4
328;3085;2;3;3
328;21761;2;4;4
328;33580;2;2;2
328;45858;2;2;2
328;61986;2;2;2
328;74192;2;2;2
332;5078;2338;3;3
332;16577;2338;1;1
332;27295;2338;1;1
332;41142;2338;4;4
332;53458;2338;3;3
332;73284;2338;8;5
338;3975;2;1;1
338;21994;2;1;1
338;34974;2;1;1
338;47676;2;1;1
338;71206;2;1;1
339;4629;2;2;2
339;20274;2;4;4
339;30775;2;2;2
339;43980;2;2;2
339;54710;2;5;4
339;66795;2;2;2
340;7730;2338;3;3
340;20598;2338;2;2
345;24681;1733;1;1
347;4064;2;1;1
347;15280;2;1;1
347;26536;2;1;1
347;37006;2;1;1
347;65236;2;2;2
353;3340;2;2;2
353;22800;2;1;1
353;34022;2;2;2
353;45766;2;3;3
353;74273;2;1;1
355;56951;2;2;2
357;12247;2;2;2
366;3467;2;2;2
366;56753;2;1;1
367;3320;2338;3;3
367;24099;2338;2;2
367;72454;2338;2;2
368;35320;2;1;1
370;15105;2338;2;2
370;25805;2338;2;2
370;50352;2338;2;2
371;4451;2;45;7
371;19951;2;5;4
371;57623;2;5;4
386;4154;2;1;1
386;23662;2;2;2
386;36012;2;3;3
386;44960;2;2;2
387;6915;2;3;3
387;17428;2;4;4
387;28027;2;7;5
387;40379;2;4;4
387;51753;2;3;3
387;73849;2;2;2
391;9292;2;1;1
391;18483;2;1;1
391;30502;2;2;2
391;75937;2;3;3
402;10460;2338;2;2
402;21598;2338;3;3
402;34497;2;1;1
402;45577;2338;1;1
402;58880;2338;1;1
406;6486;2338;4;4
406;17302;2338;3;3
406;29994;2338;3;3
406;38944;2338;3;3
406;66579;2338;3;3
407;4388;2338;2;2
408;3588;2;2;2
408;15296;2;4;4
408;25837;2;3;3
408;38426;2;4;4
408;47779;2;11;5
408;69882;2;7;5
410;8768;2;21;6
410;18536;2;11;5
410;32203;2;11;5
410;44087;2;20;6
410;57201;2;28;7
410;67217;2;21;6
412;4759;2338;2;2
413;29881;2338;1;1
414;9321;2338;2;2
414;19172;2338;1;1
414;44248;2338;2;2
414;53152;2338;2;2
414;61483;2338;2;2
416;5290;2338;18;6
416;17496;2338;18;6
416;30191;2338;3;3
416;39256;2338;8;5
416;53866;2338;1;1
416;67734;2338;2;2
418;12546;2;63;8
418;22313;2;38;7
418;34794;2;38;7
418;45217;2;38;7
418;56310;2;63;8
418;66691;2;63;8
422;3479;2;6;5
422;15038;2;6;5
422;24960;2;11;5
422;37143;2;11;5
422;48235;2;21;6
423;29307;2338;2;2
423;39821;2338;2;2
425;4746;2;41;7
425;14290;2;27;7
425;25036;2;17;6
425;37973;2;18;6
425;50848;2;18;6
425;68712;2;28;7
428;66638;1733;2;2
445;75350;2;1;1
450;45222;2338;2;2
450;66056;2338;2;2
451;28797;2;1;1
451;40521;2;1;1
452;27618;2;1;1
452;51983;2;3;3
462;47519;2;2;2
462;68601;2;3;3
463;9427;2;2;2
463;65864;2;2;2
467;7127;2338;2;2
467;18053;2338;1;1
467;28739;2338;2;2
467;41301;2338;1;1
471;24211;2;1;1
472;5241;2;42;7
472;17643;2;28;7
472;27506;2;19;6
472;40956;2;40;7
472;51342;2;40;7
472;74481;2;8;5
476;9733;2;2;2
476;18650;2;2;2
476;43480;2;1;1
476;74189;2;2;2
477;26879;1733;2;2
477;36365;1733;1;1
477;50872;1733;3;3
477;66789;1733;3;3
495;3115;2338;1;1
508;48206;2;1;1
508;70640;2;1;1
509;6267;2;48;7
509;16363;2;20;6
509;28867;2;12;5
509;39861;2;6;5
509;52000;2;15;6
509;65762;2;18;6
512;3286;2;14;6
512;20993;2;41;7
512;30802;2;67;8
512;43643;2;70;8
512;54968;2;53;8
512;67530;2;42;7
513;28302;2;2;2
513;39631;2;2;2
513;53284;2;1;1
514;4779;2;40;7
514;20736;2;41;7
514;30771;2;40;7
514;44371;2;38;7
514;55877;2;25;6
514;74889;2;64;8
520;70013;1733;2;2
532;5066;2338;3;3
532;17361;2338;8;5
532;27758;2338;8;5
532;39765;2338;3;3
535;5909;2;2;2
535;5909;2338;1;1
535;18045;2;2;2
535;18045;2338;1;1
535;27920;2;3;3
535;27920;2338;1;1
535;39565;2;2;2
535;39565;2338;1;1
535;53724;2;5;4
535;53724;2338;1;1
535;68396;2;4;4
536;35383;2;2;2
536;60205;2;2;2
536;72165;2;1;1
537;16653;2;2;2
537;29093;2;2;2
537;40086;2;2;2
537;50310;2;2;2
537;74629;2;8;5
547;6161;2;2;2
547;18330;2;2;2
547;39298;2;1;1
549;4018;2;5;4
549;23801;2;13;6
549;33791;2;14;6
549;46722;2;22;6
549;67702;2;39;7
550;20182;2;1;1
569;9083;2;1;1
569;19720;2;1;1
569;32482;2;1;1
569;74227;2;2;2
572;13735;2338;3;3
572;25520;2338;2;2
572;36831;2338;2;2
572;49637;2338;2;2
579;13708;2338;1;1
579;38484;2338;2;2
579;49822;2338;2;2
593;9223;2;3;3
593;19692;2;2;2
593;31293;2;2;2
593;43139;2;4;4
594;4712;2;19;6
594;14962;2;20;6
594;26625;2;18;6
594;37997;2;38;7
614;17758;2;2;2
614;75585;2;2;2
621;22168;2;1;1
621;33521;2;3;3
621;44890;2;5;4
623;13343;2;4;4
624;13739;2;1;1
625;14909;2338;3;3
625;25934;2338;3;3
625;37295;2338;3;3
625;50304;2338;3;3
627;6292;2338;4;4
627;17196;2338;8;5
627;28656;2338;8;5
627;40450;2338;8;5
627;52393;2338;2;2
627;75541;2338;8;5
641;4191;2;1;1
641;15433;2;3;3
641;26801;2;4;4
641;37164;2;2;2
642;4068;2;3;3
642;4068;2338;2;2
642;13971;2;4;4
642;13971;2338;2;2
642;25275;2;5;4
642;25275;2338;2;2
642;65553;2;2;2
649;9980;2;5;4
649;23313;2;4;4
649;36004;2;5;4
649;47466;2;5;4
649;57906;2;6;5
649;70606;2;5;4
652;8261;2338;2;2
652;18572;2338;2;2
652;31642;2338;1;1
652;54670;2338;1;1
658;57105;2;2;2
658;66562;2;1;1
663;3753;2338;2;2
663;18027;2338;2;2
663;28814;2338;8;5
663;40075;2338;8;5
663;50608;2338;2;2
676;3057;2;2;2
676;14871;2;1;1
676;25026;2;2;2
676;38412;2;1;1
680;12396;2338;2;2
680;23935;2338;3;3
680;35281;2338;3;3
680;44859;2338;2;2
686;71472;2338;2;2
692;9774;2338;3;3
692;22933;2338;3;3
692;35234;2338;3;3
692;46255;2338;2;2
693;8157;2338;1;1
699;21395;2338;1;1
701;7769;2338;1;1
705;5614;2338;2;2
705;17698;2338;2;2
705;28101;2338;2;2
705;41183;2338;2;2
708;51977;2;1;1
712;10684;2;2;2
712;21796;2;3;3
712;33190;2;4;4
712;46991;2;1;1
712;60988;2;1;1
731;9866;2338;3;3
731;22190;2338;3;3
731;34402;2338;3;3
731;60971;2338;3;3
731;69514;2338;2;2
732;4922;2;2;2
732;21743;2;2;2
732;35752;2;38;7
732;47447;2;38;7
732;52837;2;63;8
760;33915;2338;1;1
793;71763;1733;2;2
817;27861;2;2;2
817;71996;2;1;1
820;4457;2338;2;2
820;18925;2338;2;2
820;30719;2338;2;2
820;42351;2338;8;5
820;52936;2338;8;5
820;73538;2338;2;2
824;6980;2;1;1
824;15648;2;8;5
824;27933;2;2;2
824;40296;2;2;2
824;48609;2;8;5
824;70645;2;18;6
826;53120;1733;1;1
826;75608;1733;1;1
828;4504;2338;8;5
828;20342;2338;8;5
828;30346;2338;2;2
828;43497;2338;2;2
828;53670;2338;1;1
828;75053;2338;2;2
835;4482;2338;1;1
835;18819;2338;1;1
838;6339;2;8;5
838;17921;2;38;7
838;29169;2;38;7
838;40078;2;38;7
838;54909;2;38;7
838;67580;2;38;7
849;5494;2338;8;5
849;24034;2338;38;7
849;39584;2338;8;5
849;57122;2338;2;2
850;11116;2338;3;3
853;5528;2338;1;1
867;68874;2;1;1
878;52504;2;2;2
880;6269;2338;1;1
901;3520;2;1;1
901;50575;2;1;1
904;8385;2;1;1
904;8385;2338;1;1
904;20537;2;3;3
904;20537;2338;2;2
904;32150;2;3;3
904;41840;2;2;2
904;54884;2;1;1
913;6895;2;1;1
913;16767;2;1;1
913;27542;2;1;1
913;71579;2;3;3
920;5382;2;13;6
920;15574;2;12;5
920;29813;2;14;6
920;39335;2;6;5
920;52044;2;21;6
920;68503;2;27;7
924;6078;2;1;1
924;53386;2;1;1
930;36404;2;2;2
930;49610;2;1;1
930;70143;2;1;1
931;8888;2;5;4
931;19696;2;5;4
944;9516;2338;4;4
944;18884;2338;4;4
944;32131;2338;4;4
944;42865;2338;3;3
944;56603;2338;4;4
944;75367;2338;3;3
963;5422;2338;8;5
963;16138;2338;8;5
963;27381;2338;4;4
963;41221;2338;3;3
963;54157;2338;3;3
966;8921;2338;4;4
966;38295;2338;2;2
966;55356;2338;3;3
968;7007;2338;2;2
968;17218;2338;2;2
969;7635;2338;2;2
969;20818;2338;1;1
969;72489;2338;3;3
971;9725;2338;2;2
971;22145;2338;4;4
971;34116;2338;1;1
971;45696;2338;1;1
985;75532;1733;2;2
991;11281;2338;3;3
991;22309;2338;1;1
994;20178;2;1;1
995;6468;2338;8;5
995;16657;2338;4;4
1001;9548;2338;12;5
1001;32177;2338;2;2
1001;43473;2338;2;2
1001;56820;2338;2;2
1001;71954;2338;1;1
1011;40619;2;8;5
1014;14340;2;5;4
1014;25381;2;5;4
1014;37566;2;6;5
1014;48672;2;3;3
1014;70639;2;1;1
1024;15033;2;2;2
1024;25981;2;1;1
1036;5105;2338;2;2
1036;15881;2338;2;2
1036;27903;2338;3;3
1036;40306;2338;3;3
1036;52719;2338;2;2
1037;4626;2;1;1
1037;34510;2;1;1
1037;46582;2;4;4
1037;73407;2;2;2
1051;4944;2338;2;2
1051;16583;2338;3;3
1051;28161;2338;2;2
1051;40342;2338;2;2
1051;53571;2338;2;2
1060;38304;2;2;2
1060;50603;2;2;2
1074;7875;2;11;5
1074;20206;2;4;4
1074;32200;2;6;5
1074;41830;2;5;4
1074;57518;2;3;3
1074;73946;2;6;5
1088;56831;2;2;2
1089;51487;2;1;1
1090;5398;2;1;1
1090;17273;2;2;2
1090;69241;2;3;3
1091;27320;2338;1;1
1092;4869;2338;8;5
1092;22226;2338;2;2
1092;34575;2338;2;2
1092;45880;2338;2;2
1092;56362;2338;2;2
1092;65105;2338;2;2
1094;9206;2;5;4
1094;20671;2;5;4
1094;31741;2;5;4
1094;43708;2;3;3
1094;57321;2;3;3
1094;67321;2;3;3
1097;9340;2338;4;4
1097;19575;2338;3;3
1097;32321;2338;4;4
1097;42924;2338;8;5
1097;54328;2338;4;4
1097;76113;2338;3;3
1100;55084;2;2;2
1104;19726;2338;2;2
1110;4802;2;8;5
1110;21912;2;38;7
1110;35258;2;18;6
1110;46993;2;18;6
1110;54618;2;18;6
1110;65560;2;18;6
1116;5931;2;3;3
1116;18352;2;19;6
1116;29567;2;21;6
1122;43111;2;1;1
1122;55082;2;2;2
1122;65579;2;3;3
1135;43342;2;1;1
1135;76012;2;2;2
1138;4906;2338;2;2
1138;21155;2338;2;2
1138;32435;2338;2;2
1138;43566;2338;2;2
1138;52854;2338;2;2
1138;73660;2338;8;5
1162;4066;2;11;5
1162;21814;2;4;4
1162;35982;2;10;5
1162;45298;2;12;5
1162;58356;2;17;6
1162;69474;2;27;7
1165;7604;2338;2;2
1165;19049;2338;2;2
1165;32481;2338;2;2
1167;3243;2338;2;2
1167;23237;2338;8;5
1167;40942;2338;18;6
1167;56595;2338;18;6
1172;45548;2338;2;2
1177;9580;2338;8;5
1177;20873;2338;8;5
1177;32205;2338;8;5
1181;36569;1733;1;1
1182;7441;2;3;3
1182;21236;2;1;1
1182;32299;2;2;2
1182;42647;2;17;6
1182;56709;2;12;5
1183;22707;2338;1;1
1194;52748;2;1;1
1205;19202;2338;2;2
1205;31500;2338;8;5
1205;43321;2338;8;5
1205;51833;2;1;1
1205;51833;2338;8;5
1205;74201;2;2;2
1205;74201;2338;8;5
1219;21561;2338;1;1
1219;33541;2338;2;2
1219;47280;2338;2;2
1219;56100;2338;2;2
1219;69293;2338;2;2
1229;55728;1733;1;1
1229;66349;1733;2;2
1235;3664;2;3;3
1235;23222;2;2;2
1235;72520;2;5;4
1238;8433;2338;3;3
1238;20478;2338;3;3
1238;31344;2338;3;3
1238;44015;2338;2;2
1238;54807;2338;3;3
1240;3231;2;38;7
1240;21507;2;38;7
1240;33830;2;38;7
1240;47184;2;63;8
1240;55547;2;63;8
1240;66616;2;63;8
1261;8791;2;23;6
1261;19858;2;26;7
1261;30396;2;22;6
1261;43385;2;20;6
1261;54702;2;12;5
1261;72149;2;5;4
1288;8151;2;1;1
1288;19391;2;1;1
1288;33108;2;1;1
1288;43622;2;1;1
1288;55801;2;1;1
1289;57659;2;1;1
1289;65148;2;2;2
1296;8062;2338;18;6
1296;21314;2338;8;5
1296;32271;2338;18;6
1296;44021;2338;8;5
1296;57605;2338;8;5
1296;65656;2338;4;4
1305;18031;2;3;3
1311;6459;2;8;5
1311;17352;2;63;8
1311;29696;2;18;6
1311;39856;2;18;6
1311;50439;2;18;6
1311;71566;2;18;6
1315;71167;1733;2;2
1317;10194;2338;2;2
1319;41041;1733;1;1
1319;52010;1733;1;1
1319;73089;1733;2;2
1322;29076;2;2;2
1322;40202;2;2;2
1322;51238;2;1;1
1322;76081;2;4;4
1324;70246;1733;4;4
1325;14239;2;2;2
1325;26627;2;1;1
1325;38313;2;2;2
1327;69075;1733;1;1
1334;40864;2338;8;5
1334;67668;2338;18;6
1337;6871;2;2;2
1337;16809;2;1;1
1337;29727;2;1;1
1337;41426;2;2;2
1337;52257;2;1;1
1337;73437;2;8;5
1339;22018;2;2;2
1339;28023;2;4;4
1339;41970;2;1;1
1341;5937;2338;2;2
1341;15284;2338;18;6
1341;26191;2338;18;6
1341;38452;2338;38;7
1341;48624;2338;8;5
1341;71020;2338;2;2
1346;6367;2;1;1
1346;28946;2;2;2
1346;39081;2;2;2
1346;50103;2;2;2
1346;70213;2;2;2
1353;69135;1733;1;1
1355;28908;2;1;1
1355;40853;2;1;1
1355;52304;2;1;1
1355;75443;2;2;2
1358;6833;2;38;7
1358;18068;2;38;7
1358;30179;2;18;6
1358;40069;2;18;6
1358;52791;2;18;6
1358;75435;2;18;6
1360;39594;1733;1;1
1361;28247;2;2;2
1361;39149;2;1;1
1361;50663;2;1;1
